Imię,Liczba,Płeć
ANTONI,3431,M
JAN,3246,M
ALEKSANDER,3039,M
FRANCISZEK,2923,M
NIKODEM,2805,M
JAKUB,2751,M
LEON,2499,M
STANISŁAW,2174,M
MIKOŁAJ,2165,M
SZYMON,2154,M
FILIP,2105,M
IGNACY,2003,M
WOJCIECH,1829,M
KACPER,1692,M
ADAM,1622,M
TYMON,1602,M
MARCEL,1542,M
MAKSYMILIAN,1535,M
WIKTOR,1407,M
MICHAŁ,1393,M
OLIWIER,1265,M
TYMOTEUSZ,1188,M
MIŁOSZ,1149,M
IGOR,1130,M
PIOTR,1046,M
JULIAN,1002,M
OSKAR,962,M
GABRIEL,886,M
DAWID,781,M
KRZYSZTOF,703,M
BARTOSZ,694,M
MATEUSZ,634,M
DOMINIK,633,M
KAROL,614,M
NATAN,598,M
BRUNO,588,M
ALAN,562,M
HUBERT,552,M
FABIAN,529,M
MACIEJ,509,M
TOMASZ,490,M
HENRYK,482,M
TADEUSZ,453,M
ARTUR,436,M
CEZARY,425,M
PAWEŁ,408,M
KSAWERY,405,M
DANIEL,359,M
KAZIMIERZ,349,M
BARTŁOMIEJ,338,M
BORYS,334,M
KUBA,333,M
KAJETAN,312,M
MILAN,309,M
JÓZEF,299,M
KAMIL,298,M
TEODOR,289,M
WITOLD,287,M
OLAF,282,M
ERYK,266,M
KORNEL,263,M
ADRIAN,261,M
PATRYK,258,M
STEFAN,251,M
MARK,248,M
GRZEGORZ,247,M
GUSTAW,231,M
SEBASTIAN,230,M
LEO,219,M
KRYSTIAN,214,M
EMIL,208,M
LEONARD,205,M
JERZY,204,M
MIESZKO,204,M
MAKSYM,198,M
RYSZARD,195,M
ARTEM,194,M
FELIKS,180,M
TOBIASZ,174,M
MARCIN,171,M
DAVID,163,M
ROBERT,162,M
ŁUKASZ,159,M
KONSTANTY,157,M
DAMIAN,154,M
RAFAŁ,141,M
ALEX,139,M
REMIGIUSZ,134,M
NATANIEL,132,M
FLORIAN,131,M
BŁAŻEJ,128,M
PRZEMYSŁAW,127,M
OLIVIER,127,M
ALEKS,124,M
JEREMI,120,M
OLEKSANDR,120,M
RADOSŁAW,117,M
KONRAD,116,M
JULIUSZ,115,M
MATVII,106,M
ROMAN,104,M
MAREK,101,M
IWO,101,M
ALBERT,100,M
LUCJAN,97,M
ALEXANDER,91,M
KORDIAN,90,M
BENIAMIN,89,M
LUDWIK,87,M
MAKAR,80,M
DMYTRO,79,M
SAMUEL,79,M
GRACJAN,78,M
DORIAN,76,M
ANDRZEJ,75,M
WŁADYSŁAW,75,M
BOGDAN,73,M
JĘDRZEJ,72,M
MAURYCY,70,M
MYKHAILO,69,M
HUGO,68,M
TIMUR,68,M
ARKADIUSZ,68,M
JEREMIASZ,67,M
JACEK,67,M
FRYDERYK,63,M
ALEKSY,63,M
MAKS,62,M
ERNEST,61,M
NIKITA,59,M
IVAN,59,M
DANYLO,58,M
BRAJAN,57,M
OLIVER,56,M
TYMOFII,56,M
SEWERYN,56,M
MIRON,55,M
NAZAR,54,M
EDWARD,53,M
DAVYD,52,M
WINCENTY,52,M
VINCENT,52,M
DANIIL,52,M
LIAM,51,M
DAMIR,51,M
LEV,50,M
CYPRIAN,48,M
MATVIY,47,M
VLADYSLAV,46,M
DENIS,46,M
NORBERT,46,M
OLGIERD,45,M
BOHDAN,43,M
LUKA,41,M
MARKO,40,M
TYTUS,39,M
DARIUSZ,38,M
MAX,38,M
MARTIN,37,M
ILLIA,36,M
ARON,35,M
VIKTOR,35,M
ARSEN,34,M
YAROSLAV,33,M
LEW,33,M
BOGUMIŁ,32,M
MAKSIM,32,M
MARCELI,32,M
ZBIGNIEW,31,M
EMILIAN,31,M
KOSMA,31,M
MAXIMILIAN,29,M
MIROSŁAW,29,M
OLIWER,29,M
DEMIAN,28,M
TYMUR,27,M
OKTAWIAN,27,M
ZACHARY,26,M
GNIEWOMIR,26,M
ZAKHAR,26,M
LEONARDO,26,M
WINCENT,25,M
PLATON,25,M
ANDRII,25,M
NIKOLAS,24,M
SVIATOSLAV,24,M
VOLODYMYR,24,M
LEOPOLD,24,M
LESZEK,24,M
BENJAMIN,24,M
BRUNON,24,M
CZESŁAW,23,M
BOLESŁAW,23,M
SZCZEPAN,22,M
JOACHIM,22,M
KEVIN,22,M
TEO,21,M
NATHAN,21,M
GNIEWKO,21,M
MARIUSZ,21,M
AMADEUSZ,20,M
ZIEMOWIT,20,M
OSTAP,20,M
OLEKSII,20,M
SYLWESTER,20,M
KLEMENS,19,M
KYRYLO,19,M
VLADISLAV,19,M
JAROSŁAW,19,M
JONATAN,19,M
FRANEK,19,M
BARTEK,19,M
JONASZ,19,M
DENYS,19,M
BOGUSŁAW,19,M
MYKYTA,18,M
EDMUND,18,M
ELIASZ,18,M
BERNARD,18,M
OREST,17,M
BENEDYKT,17,M
NICOLAS,17,M
MYROSLAV,17,M
KASPIAN,17,M
PAVLO,17,M
TYMOFIY,17,M
KIRIL,17,M
YEHOR,16,M
KORNELIUSZ,16,M
MIECZYSŁAW,16,M
MATVEY,16,M
ERIK,15,M
KSAWIER,15,M
DANIL,15,M
VICTOR,15,M
ZYGMUNT,15,M
ANTON,15,M
OSCAR,15,M
KASJAN,15,M
KIRILL,15,M
BASTIAN,14,M
GERARD,14,M
DANYIL,14,M
HEKTOR,14,M
OLEK,14,M
MYRON,13,M
WILLIAM,13,M
ZAHAR,13,M
KEWIN,13,M
ROSTYSLAV,13,M
OLEG,13,M
ROCH,13,M
EGOR,13,M
MAXYMILIAN,13,M
MARIAN,13,M
STANISLAV,13,M
SERGIUSZ,13,M
ANATOL,13,M
MAXIM,13,M
VADYM,13,M
IVO,13,M
FELICJAN,12,M
FELIX,12,M
YAN,12,M
SŁAWOMIR,12,M
USTYM,12,M
THEO,11,M
GLEB,11,M
DANILO,11,M
ALEK,11,M
WIT,11,M
BRONISŁAW,11,M
MICHAEL,11,M
ERWIN,11,M
KOSTIANTYN,11,M
SERHII,11,M
MYKOLA,11,M
NOE,10,M
EMANUEL,10,M
WALDEMAR,10,M
COLIN,10,M
AUGUST,10,M
MIROSLAV,10,M
TYMOFIJ,10,M
IHOR,10,M
STEPAN,10,M
YURII,10,M
VENIAMIN,10,M
LUCAS,10,M
ALEKSANDR,10,M
NOAH,10,M
GNIEWOSZ,10,M
JANUSZ,10,M
RENAT,10,M
KAI,9,M
KRZESIMIR,9,M
THEODOR,9,M
ANTHONY,9,M
LEONID,9,M
IRENEUSZ,9,M
OLEH,9,M
AARON,9,M
AMIR,9,M
