Nazwisko aktualne,Liczba
NOWAK,102503
KOWALSKA,69240
WIŚNIEWSKA,55329
WÓJCIK,49892
KOWALCZYK,49198
KAMIŃSKA,47703
LEWANDOWSKA,47224
ZIELIŃSKA,45555
SZYMAŃSKA,44529
DĄBROWSKA,44204
WOŹNIAK,44124
KOZŁOWSKA,37933
JANKOWSKA,34596
MAZUR,34193
KWIATKOWSKA,33562
WOJCIECHOWSKA,33277
KRAWCZYK,32102
KACZMAREK,30970
PIOTROWSKA,30777
GRABOWSKA,29294
PAWŁOWSKA,27905
MICHALSKA,27490
KRÓL,27294
ZAJĄC,27276
WIECZOREK,25528
JABŁOŃSKA,25434
WRÓBEL,25051
NOWAKOWSKA,24979
MAJEWSKA,24712
OLSZEWSKA,24064
ADAMCZYK,23777
JAWORSKA,23709
MALINOWSKA,23603
STĘPIEŃ,23503
DUDEK,23166
GÓRSKA,22956
NOWICKA,22842
WITKOWSKA,22387
PAWLAK,22374
SIKORA,22141
WALCZAK,22000
RUTKOWSKA,21982
MICHALAK,21304
SZEWCZYK,21177
OSTROWSKA,21022
BARAN,20560
TOMASZEWSKA,20216
ZALEWSKA,19682
PIETRZAK,19650
WRÓBLEWSKA,19602
JASIŃSKA,19309
MARCINIAK,19282
JAKUBOWSKA,19005
SADOWSKA,18978
ZAWADZKA,18793
DUDA,18354
WŁODARCZYK,18021
BĄK,17991
CHMIELEWSKA,17903
BORKOWSKA,17890
WILK,17533
SOKOŁOWSKA,17465
SZCZEPAŃSKA,17214
SAWICKA,17082
LIS,16697
KUCHARSKA,16569
MACIEJEWSKA,16300
KALINOWSKA,16249
MAZUREK,16175
WYSOCKA,16113
KUBIAK,16070
KOŁODZIEJ,15592
CZARNECKA,15350
KAŹMIERCZAK,15192
URBAŃSKA,14463
SOBCZAK,14215
GŁOWACKA,14188
KRAJEWSKA,14160
KRUPA,14139
SIKORSKA,14096
ZAKRZEWSKA,14084
WASILEWSKA,13852
ZIÓŁKOWSKA,13820
LASKOWSKA,13795
GAJEWSKA,13595
MRÓZ,13577
SZULC,13543
MAKOWSKA,13506
BRZEZIŃSKA,13357
PRZYBYLSKA,13279
BARANOWSKA,13271
KACZMARCZYK,13247
SZYMCZAK,13200
ADAMSKA,13135
BŁASZCZYK,13025
BOROWSKA,12944
GÓRECKA,12904
KANIA,12792
SZCZEPANIAK,12765
JANIK,12722
LESZCZYŃSKA,12710
CZERWIŃSKA,12694
CHOJNACKA,12677
LIPIŃSKA,12538
KOWALEWSKA,12503
KOZAK,12485
WESOŁOWSKA,12440
MIKOŁAJCZYK,12403
ANDRZEJEWSKA,12385
MUCHA,12207
CIEŚLAK,12099
JAROSZ,12093
KONIECZNA,12021
KOZIOŁ,12015
ZIĘBA,11974
MARKOWSKA,11928
KOWALIK,11877
KOŁODZIEJCZYK,11856
MUSIAŁ,11735
BRZOZOWSKA,11567
DOMAŃSKA,11487
PAWLIK,11322
ORŁOWSKA,11286
TOMCZYK,11286
NOWACKA,11246
TOMCZAK,11244
PIĄTEK,11243
KOPEĆ,11239
ŻAK,11138
CIESIELSKA,11106
KUREK,11066
MARKIEWICZ,10989
WÓJTOWICZ,10974
WAWRZYNIAK,10973
POLAK,10924
WOLSKA,10919
KRUK,10832
KOT,10831
STANKIEWICZ,10722
JASTRZĘBSKA,10529
SOWA,10405
URBANIAK,10379
KARPIŃSKA,10361
CZAJKOWSKA,10300
STASIAK,10297
ŁUCZAK,10289
WIERZBICKA,10244
NAWROCKA,10222
PIASECKA,10209
KLIMEK,10136
DZIEDZIC,10043
SOSNOWSKA,9976
BEDNAREK,9927
JANICKA,9913
BIELECKA,9866
STEFAŃSKA,9833
GAJDA,9814
MILEWSKA,9802
MADEJ,9685
MAJCHRZAK,9566
JÓŹWIAK,9528
LEŚNIAK,9527
MAJ,9441
ŚLIWIŃSKA,9351
URBAN,9335
KOWAL,9334
SKIBA,9315
MAŁECKA,9272
BEDNARCZYK,9193
DOBROWOLSKA,9191
SOCHA,9174
MAREK,9154
ROMANOWSKA,8980
MICHALIK,8974
DOMAGAŁA,8934
WRONA,8931
RATAJCZAK,8859
KASPRZAK,8857
WILCZYŃSKA,8847
MATUSZEWSKA,8815
OLEJNICZAK,8736
ORZECHOWSKA,8731
ŚWIĄTEK,8709
PAJĄK,8663
KUROWSKA,8594
BUKOWSKA,8562
SOBOLEWSKA,8545
OWCZAREK,8468
OLEJNIK,8432
MAZURKIEWICZ,8425
GRZELAK,8414
ŁUKASIK,8397
ROGOWSKA,8384
KĘDZIERSKA,8363
BARAŃSKA,8313
KOSIŃSKA,8246
MATUSIAK,8221
RYBAK,8154
SOBCZYK,8118
SKOWROŃSKA,8079
MARSZAŁEK,8036
MARCINKOWSKA,8033
CHRZANOWSKA,7994
BEDNARSKA,7966
ZYCH,7960
BEDNARZ,7942
SROKA,7932
LISOWSKA,7924
KUCZYŃSKA,7919
ŚWIDERSKA,7913
MORAWSKA,7840
KASPRZYK,7838
JANISZEWSKA,7837
KOZIEŁ,7824
MUSZYŃSKA,7743
CHMIEL,7662
GRZYBOWSKA,7654
BIAŁEK,7627
MAŁEK,7618
JĘDRZEJEWSKA,7601
KWIECIEŃ,7557
WITEK,7519
PLUTA,7513
MARCZAK,7486
TUREK,7473
PALUCH,7470
CZAJA,7463
KRZEMIŃSKA,7453
CZAJKA,7442
PIEKARSKA,7441
OSIŃSKA,7438
KUBICKA,7390
CZECH,7359
